date,id,name,subs,views,videos
2026-08-23 06:00,UC6BwO1hK3hHd-Hr43jokcyg,田中MID,287000,208401614,262
2026-08-23 06:00,UCRCQ3G1d0DM2krO-Fx5LOuQ,Æž!みかんぼーる🍊,311000,390113268,423
2026-08-23 06:00,UCScWUYsYXgrDN8AVIRJLtLw,こうちゃ(ポーランドボール),55200,29170975,122
2026-08-23 06:00,UCShRcYFlXgjOfeAvsP_5taQ,狼狐 Roko(ポーランドボール),53000,8334079,600
2026-08-23 06:00,UC_qD8VahU0Fr3q1SKg6kYtg,さとボール,54700,27569216,952
2026-08-23 06:00,UCnaMFejTyu396-R4GYhXD_Q,エッバの歴史解説ちゃんねる,44100,10235755,76
2026-08-23 06:00,UC8BA486HqgHSLO82YlPNFfw,はなひに,41800,16773488,115
2026-08-23 06:00,UCxKNMaOOdi32HNUFTOCw-8w,Neille / ナユ,37800,69846466,188
2026-08-23 06:00,UCvYaUyxK_wqez1bJYyFslRg,ボウコムボール,30500,10602048,115
2026-08-23 06:00,UC9SB9xRrmdZ9Jt0aXkWuCOg,BALL420,32500,33550898,567
2026-08-23 06:00,UCajUGvWXtYUcTHD3E3y138w,かにたる,30900,10944231,84
2026-08-23 06:00,UCxtGe9mRTjabQjwvmhqc5nw,引退募集,33200,6457595,44
2026-08-23 06:00,UCH3w-77t9kRWVNqKwQPIq_A,リアイオ·C·K (Riaio),32800,8411019,82
2026-08-23 06:00,UCFUXbdaOpvcbuC0zQMjS1Rw,Schokoladen Ball,28200,19858800,118
2026-08-23 06:00,UCD9mEEJypdqQZeSeTotItbg,カルノ  ムックル教,22200,7045497,37
2026-08-23 06:00,UCHJrlfd5kaoF7hx_KjfwZxQ,ｺﾏ,21100,9935881,22
2026-08-23 06:00,UCZJGdkej48qsbPf7ZBBJlKQ,こゆまる_koyumaru908,21600,9423731,186
2026-08-23 06:00,UCy46bv4oPol4XOzKIbiw1LQ,すいかぼーる,24100,14981700,180
2026-08-23 06:00,UCVxwV9hTI2DVS0exkZ-Mqww,作,27400,9533342,137
2026-08-23 06:00,UCl4efTdPPsQWpj6jXmE9Azg, ゼリョーヌィボール　活停中,20500,5778856,88
2026-08-23 06:00,UCYNJQu0hhJFT36rCVfFpRXA,日帝ボール,23800,13513252,26
2026-08-23 06:00,UC0kY7Nwjt8qkErtdxl3iuIw,日本ボール,27700,7732129,85
2026-08-23 06:00,UC5wPmYUt7bVpzfhnehpTdaw,ぱふball,22200,6749656,103
2026-08-23 06:00,UCnZ3-DYNoF3sdpWIj2Tr59Q,マルルさん,21600,26698898,78
2026-08-23 06:00,UC-fbc__tWFtZSnyBSvTP7vg,Yukkuri ball,29300,13049798,123
2026-08-23 06:00,UCGo_IzKD2-TooYrTGFt2fDA,ゆずボール🎣,36000,16982055,194
2026-08-23 06:00,UCfe4nCMqfTwoiMmIGqAolcQ,りょうデス,24000,15240665,893
2026-08-23 06:00,UCxt74h6chRpTlHWKqG2KHOg,ねこボール,20500,3164577,64
2026-08-23 06:00,UCzHHAy2xN6Vy0wwZPbUZkSA,マイクラ共和国ボール(tama2224),26700,10238996,144
2026-08-23 06:00,UCkAgeT1zuPieZCmlCl47htA,緑玉　,25900,20228,
2026-08-23 06:00,UCSmj0fs41NTFbDZYyEZsoQw,すこるある,20000,,
2026-08-23 06:00,UCJgwnMYDdnyskJ7zsSXuVfw,スターボール,25500,12493313,146
2026-08-23 06:00,UCVYMXYU6j0M5Gj1xwywKDyg,レイアルファ,3720,3003353,86
2026-08-23 06:00,UCmWcMMH94uzxqJpB_vrxRKQ,アオアオカントリー,17000,2214574,18
2026-08-23 06:00,UCSdgLDAnBGMBNkJvTztGUbQ,Acgelent,12300,7761011,66
2026-08-23 06:00,UCpOhdzl-CTUQ8xHonbVWsZw,うずまき🌀,28800,7852024,183
2026-08-23 06:00,UCO94y0dm-m5LjY3OHywSifw,カミヤ kamiya【ポーランドボール】,12100,3441297,79
2026-08-23 06:00,UCCQEhe-wXZCSb843x92YDzQ,きままボール,17800,12649025,153
2026-08-23 06:00,UCKCAWr6aCfgm9lLWmM7yEKQ,炭火焼き,18800,14067981,59
2026-08-23 06:00,UC7TqXiAikWw_Xh4Xbam1Faw,ケエレビQ!,12400,5404845,100
2026-08-23 06:00,UCdrDC3QVzRjxHcS7m3EDPxg,ジャスティンピーバー - ポーランドボール,18600,56481563,528
2026-08-23 06:00,UCmjY1OXynztjoCn9Lb4w7Ag,SEKKI98,12200,8535066,791
